417
 0.000	 0.000
 0.000	 1.000
 3.000	 1.000
 3.000	 0.000
 0.125	 0.000
 0.250	 0.000
 0.375	 0.000
 0.500	 0.000
 0.625	 0.000
 0.750	 0.000
 0.875	 0.000
 1.000	 0.000
 1.125	 0.000
 1.250	 0.000
 1.375	 0.000
 1.500	 0.000
 1.625	 0.000
 1.750	 0.000
 1.875	 0.000
 2.000	 0.000
 2.125	 0.000
 2.250	 0.000
 2.375	 0.000
 2.500	 0.000
 2.625	 0.000
 2.750	 0.000
 2.875	 0.000
 3.000	 0.125
 3.000	 0.250
 3.000	 0.375
 3.000	 0.500
 3.000	 0.625
 3.000	 0.750
 3.000	 0.875
 2.875	 1.000
 2.750	 1.000
 2.625	 1.000
 2.500	 1.000
 2.375	 1.000
 2.250	 1.000
 2.125	 1.000
 2.000	 1.000
 1.875	 1.000
 1.750	 1.000
 1.625	 1.000
 1.500	 1.000
 1.375	 1.000
 1.250	 1.000
 1.125	 1.000
 1.000	 1.000
 0.875	 1.000
 0.750	 1.000
 0.625	 1.000
 0.500	 1.000
 0.375	 1.000
 0.250	 1.000
 0.125	 1.000
 0.000	 0.875
 0.000	 0.750
 0.000	 0.625
 0.000	 0.500
 0.000	 0.375
 0.000	 0.250
 0.000	 0.125
 0.500	 0.500
 2.500	 0.500
 1.500	 0.500
 2.750	 0.250
 2.250	 0.250
 0.250	 0.750
 0.750	 0.750
 0.250	 0.250
 1.750	 0.250
 1.250	 0.250
 2.000	 0.500
 2.250	 0.750
 2.750	 0.750
 1.750	 0.750
 1.250	 0.750
 1.000	 0.500
 0.750	 0.250
 2.375	 0.125
 2.125	 0.125
 2.625	 0.125
 2.500	 0.250
 2.875	 0.125
 2.625	 0.375
 2.375	 0.375
 0.125	 0.875
 0.375	 0.875
 0.500	 0.750
 0.625	 0.875
 0.375	 0.625
 0.625	 0.625
 0.875	 0.875
 0.125	 0.625
 0.125	 0.375
 0.250	 0.500
 0.125	 0.125
 0.375	 0.375
 1.875	 0.125
 1.625	 0.125
 1.500	 0.250
 1.375	 0.125
 1.625	 0.375
 1.375	 0.375
 1.125	 0.125
 2.000	 0.750
