1054
126	517	193
125	518	194
128	519	195
127	520	196
93	223	320
149	320	223
95	224	322
151	322	224
113	234	345
114	235	346
115	236	347
116	237	348
64	236	372
45	237	373
7	234	370
26	235	371
76	374	238
57	375	239
19	376	240
38	377	241
85	464	203
86	465	204
87	466	205
88	467	206
8	234	7
26	27	235
64	65	236
45	46	237
75	76	238
56	57	239
18	19	240
37	38	241
75	238	288
56	239	289
18	240	290
37	241	291
89	324	360
90	325	361
126	193	341
125	194	342
128	195	343
127	196	344
120	435	214
118	434	213
119	427	212
117	426	211
113	345	525
114	346	526
115	347	527
116	348	528
169	310	225
170	312	226
172	311	228
171	309	227
203	464	409
204	465	410
205	466	411
206	467	412
89	360	292
90	361	293
91	294	362
92	295	363
214	435	335
213	434	334
91	362	350
351	92	363
119	290	240
120	291	241
117	288	238
118	289	239
212	427	325
211	426	324
72	225	332
53	226	333
15	227	330
34	228	331
133	198	330
199	331	134
135	200	332
201	333	136
74	75	288
55	56	289
18	290	17
36	37	291
62	63	266
43	44	267
5	6	264
24	25	265
77	78	268
58	59	269
21	270	20
39	40	271
135	422	419
133	421	417
136	424	420
134	423	418
135	310	422
136	312	424
133	309	421
134	311	423
125	272	518
126	273	517
127	274	520
128	275	519
161	256	260
162	257	261
163	258	262
259	263	164
155	372	236
156	373	237
153	370	234
154	371	235
157	238	374
158	239	375
159	240	376
160	241	377
121	260	256
122	261	257
123	262	258
124	263	259
149	272	305
150	273	306
151	274	307
152	275	308
125	215	305
126	216	306
127	217	307
128	218	308
145	254	349
148	479	359
133	337	198
199	134	338
135	339	200
201	136	340
145	313	254
93	254	313
170	403	312
169	401	310
172	404	311
171	402	309
89	301	211
90	302	212
91	303	213
92	304	214
62	266	452
43	267	454
5	264	453
24	265	455
78	457	268
59	456	269
21	459	270
40	458	271
101	315	298
102	316	297
103	317	300
104	318	299
223	356	405
113	364	234
114	365	235
153	234	364
154	235	365
137	301	242
89	242	301
138	302	243
90	243	302
139	303	244
91	244	303
140	304	245
92	245	304
129	232	453
130	230	452
130	456	230
131	233	455
129	457	232
231	454	132
231	132	458
131	459	233
135	225	310
133	227	309
136	226	312
134	228	311
149	219	320
150	220	321
151	221	322
152	222	323
71	72	332
52	53	333
15	330	14
33	34	331
61	452	230
42	454	231
60	230	456
79	232	457
4	453	232
23	455	233
41	231	458
22	233	459
12	246	413
31	247	414
69	248	415
50	249	416
91	213	334
92	214	335
137	521	207
138	522	208
139	523	209
140	524	210
109	337	203
110	338	204
111	339	205
112	340	206
120	451	291
119	450	290
118	449	289
117	448	288
141	215	315
142	216	316
143	217	317
144	218	318
97	207	326
98	208	327
99	209	328
100	210	329
89	211	324
90	212	325
