129
-0.5	2
1.5	2
1	2
9.17507e-13	2
0.5	1.5
1.25	2
0.75	1.75
0.25	1.75
-0.25	2
1.375	2
1.125	2
0.625	1.57322
0.875	1.92678
0.375	1.57322
0.125	1.92678
-0.375	2
-0.125	2
1.4375	2
1.3125	2
1.1875	2
1.0625	2
0.5625	1.51903
0.6875	1.65433
0.8125	1.84567
0.9375	1.98097
0.3125	1.65433
0.4375	1.51903
0.1875	1.84567
0.0625	1.98097
-0.3125	2
-0.4375	2
-0.1875	2
-0.0625	2
1.46875	2
1.40625	2
1.34375	2
1.28125	2
1.21875	2
1.15625	2
1.09375	2
1.03125	2
0.53125	1.5048
0.59375	1.54213
0.65625	1.61111
0.71875	1.70123
0.78125	1.79877
0.84375	1.88889
0.90625	1.95787
0.96875	1.9952
0.28125	1.70123
0.34375	1.61111
0.40625	1.54213
0.46875	1.5048
0.15625	1.88889
0.21875	1.79877
0.09375	1.95787
0.03125	1.9952
-0.28125	2
-0.34375	2
-0.40625	2
-0.46875	2
-0.15625	2
-0.21875	2
-0.09375	2
-0.03125	2
1.48438	2
1.45312	2
1.42188	2
1.39062	2
1.32812	2
1.35938	2
1.29688	2
1.26562	2
1.23438	2
1.20312	2
1.17188	2
1.14062	2
1.10938	2
1.07812	2
1.04688	2
1.01562	2
0.515625	1.5012
0.546875	1.51076
0.578125	1.52952
0.609375	1.55675
0.671875	1.63215
0.640625	1.5914
0.703125	1.67743
0.734375	1.7255
0.765625	1.7745
0.796875	1.82257
0.828125	1.86785
0.859375	1.9086
0.890625	1.94325
0.921875	1.97048
0.953125	1.98924
0.984375	1.9988
0.265625	1.7255
0.296875	1.67743
0.328125	1.63215
0.359375	1.5914
0.390625	1.55675
0.421875	1.52952
0.453125	1.51076
0.484375	1.5012
0.140625	1.9086
0.171875	1.86785
0.203125	1.82257
0.234375	1.7745
0.078125	1.97048
0.109375	1.94325
0.046875	1.98924
0.015625	1.9988
-0.265625	2
-0.296875	2
-0.328125	2
-0.359375	2
-0.390625	2
-0.421875	2
-0.453125	2
-0.484375	2
-0.140625	2
-0.171875	2
-0.203125	2
-0.234375	2
-0.078125	2
-0.109375	2
-0.046875	2
-0.015625	2
