10	0.017047	0.016179	0.021560
20	0.009858	0.009684	0.017363
30	0.009207	0.008695	0.014496
40	0.006620	0.006098	0.010539
50	0.005093	0.004758	0.009855
60	0.004265	0.003952	0.008286
70	0.003643	0.003400	0.007383
80	0.003179	0.002994	0.006694
90	0.002840	0.002672	0.005888
100	0.002759	0.002624	0.005533
